Event Info,Link
"WILMINGTON, DE | 11AM at 909 Centre Road",https://www.instagram.com/p/CzMIHobuXMw/?igshid=MzRlODBiNWFlZA==
"STOCKTON, CA | 11:30AM at City Hall",https://www.instagram.com/p/Czc4KNBLD1a/
"FAIRBANKS, AK | 12PM at Golden Heart Plaza",http://kwrk.org
"KNOXVILLE, TN | 12PM at St. James Episcopal Church & Market Square",https://www.facebook.com/JewishVoiceforPeaceKnoxville/posts/655652370091402
"STROUDSBURG, PA | 12PM at Danbury Park",https://fb.me/e/aDmhSNvkJ
"NASHVILLE, TN | 1PM at Centennial Park",https://x.com/MidTNDSA/status/1721990253148315947?s=20
"MANCHESTER, NH | 1PM at Veterans Park",https://www.facebook.com/events/s/march-for-palestine/889721562674878/
"PORTLAND, ME | 1PM at Longfellow Square",https://www.facebook.com/MVPRights?mibextid=LQQJ4d
"PORTLAND, OR | 1PM at Sewallcrest Park",https://www.instagram.com/p/CzW3-UCS3EV/?igshid=MTVncmhxNDBjcm1kYw%3D%3D&img_index=5
"KALAMAZOO, MI | 1PM at 100 West Michigan Avenue",https://facebook.com/events/s/protest-for-palestine/24091274230486940/
"LITTLE ROCK, AR | 1:30PM at 1200 President Clinton Avenue",https://facebook.com/events/s/ceasefire-now-save-the-childre/2558992414260204/
"SEATTLE, WA | 2PM at Westlake Center 400 Pine Street",https://www.instagram.com/p/CzbtkFypsTT/?igshid=M2E2MzhkbDlmZG4z
"TAMPA, FL | 2PM at Curtis Hixon Park",https://www.instagram.com/p/CzZXZ41Pk9W/?igshid=MW9hcGg5cGlrZ3pvbA==
"ST PAUL, MN | 2PM at Cathedral Hill Park",https://www.instagram.com/p/CzY4niTuOBt/?igshid=MTc4MmM1YmI2Ng==
"SALT LAKE CITY, UT | 2PM at Washington Square Park",https://www.instagram.com/p/CzHgtP-S9Sq/?utm_source=ig_web_button_share_sheet
"SANTA FE, NM | 2PM at Santa Fe Railyard",https://www.instagram.com/p/CzUCgO8OGxQ/
"RALEIGH, NC | 3PM at Moore Square",https://www.instagram.com/p/Czd9V9esZUB/?igshid=MzRlODBiNWFlZA==
"ATLANTA, GA | 3PM at City Hall 55 Trinity Avenue SW",https://www.instagram.com/p/CzbtcxLA_AD/?igshid=Y2NkYjk0MDhjYg==
"LOS ANGELES, CA | 3PM at LA City Hall",https://www.instagram.com/p/Czb6ekmAvuU/?img_index=1
"MIAMI, FL | 3PM at Lummus Park 1001 Ocean Drive",https://www.instagram.com/p/CzY4jbwu_NM/?igshid=Y2NkYjk0MDhjYg==
"WATERBURY, CT | 3PM at 235 Grand Street",https://instagram.com/ampalestinect?igshid=YTQwZjQ0NmI0OA==
"JACKSONVILLE, FL | 4PM at St. John’s Town Center",https://www.facebook.com/share/p/yuYMrCrCaoD4NDTT/?mibextid=WC7FNe
"PHOENIX, AZ | 4PM at Tempe Beach Park",https://www.instagram.com/p/CzSqWqxLb02/?igshid=ODkwNWt6NXBlcTJw
"PORTLAND, OR | 4PM at 1200-1220 SW 5th Avenue",https://www.instagram.com/p/CzYCrgXLQZv/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==
"CHARLOTTESVILLE, VA | 4PM at UVA Campus Rotunda",https://www.instagram.com/p/Czb6OYvpUOQ/?igshid=ajc5NWVkNGMwb2N4
MULTIPLE LOCATIONS | Families for Ceasefire,https://familiesforceasefire.org/
"SAN DIEGO, CA | 11AM at 1359 Garnet Avenue",https://www.instagram.com/p/CzZHWIaODv6/?igshid=cXptNWFtd2hqdG44
"SACRAMENTO, CA | 11AM at Memorial Auditorium 16th & J Street",https://www.instagram.com/p/Czb85I0PDsc/?igshid=Y2NkYjk0MDhjYg==
"SARASOTA, FL | 11AM at Gulfstream Drive & US Hwy 41",https://www.instagram.com/p/CzZt9qxsWio/?hl=en
"CHICAGO, IL | 12PM at Water Tower Park, 109 E Pearson Street",https://www.instagram.com/p/CzewP11P7LY/
"BEND, OR | 12PM at 1077 NW Wall Street",https://www.facebook.com/events/1278790112834811?ref=newsfeed
"BOSTON, MA | 1PM at Copley Square",https://www.instagram.com/p/CzXvzsjMPcc/
"AUSTIN, TX | 1PM at Texas State Capitol 1100 Congress Ave",https://www.instagram.com/p/CzPtGZjJHWz/
"PHILADELPHIA, PA | 1PM at Broad Street & Girard Avenue",https://instagram.com/phillypalestinecoalition?igshid=OGQ5ZDc2ODk2ZA==
"SAN FRANCISCO, CA | 1PM at Harry Bridges Plaza",https://www.araborganizing.org/events/
"WICHITA, KS | 2PM at 3561 N Rock Road",https://facebook.com/events/s/protest-for-gaza-and-the-peopl/607405164766585/?mibextid=Gg3lNB
"SALEM, OR | 2PM at 200 Water Street",https://www.instagram.com/p/CzZ25GrPUDp/?igshid=MWJ6N25iNmRqemNrYQ==
"COLUMBUS, OH | 2PM at Goodale Park",https://www.instagram.com/p/CzZhgAgPKhf/?igshid=MzRlODBiNWFlZA==
"SAN JUAN, PR | 2PM at Capitolio Old San Juan",https://instagram.com/colectivafeministapr?igshid=aTJmOW1mZ3c4ZGow
"PEORIA, IL | 3PM at corner of Main & University Street",https://www.facebook.com/share/p/QwM63jY7h71MACNp/?mibextid=WC7FNe
"HONOLULU, HI | 3PM at Atkinson & Ala Moana Boulevard",https://www.instagram.com/p/Czb_UOUvXcE/
"LAS VEGAS, NV | 4PM at The Venetian 3355 S Las Vegas Boulevard ",https://www.instagram.com/p/CzZJYihx87w/?igshid=YjVjNjZkNmFjNg==
"BROOKLYN, NY | 4:30PM at Brooklyn Museum",https://www.instagram.com/p/CzZt10_AXhm/?igshid=MzRlODBiNWFlZA==
